100	2.3e-05	2.3e-05	2.1e-05	2.2e-05	2.2e-05	2.4e-05	2.2e-05	2e-05	1.9e-05	2e-05	1.9e-05	1.8e-05	1.9e-05	1.8e-05	1.9e-05	2e-05	1.9e-05	1.7e-05	2e-05	1.6e-05	1.7e-05	1.6e-05	1.7e-05	1.3e-05	1.5e-05	1.4e-05	1.5e-05	1.3e-05	1.3e-05	1.4e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.4e-05	1.3e-05	1.3e-05	1.5e-05	1.3e-05	1.6e-05	1.3e-05	1.4e-05	1.3e-05	1.2e-05	9e-06	1.3e-05	1.2e-05	1.1e-05	1.2e-05	1.1e-05	1.3e-05	1.2e-05	1.1e-05	1.3e-05	1.1e-05	8e-06	8e-06	1e-05	1.4e-05	1e-05	1e-05	8e-06	8e-06	8e-06	8e-06	9e-06	9e-06	9e-06	1e-05	1e-05	8e-06	8e-06	1e-05	1e-05	2e-05	8e-06	1e-05	7e-06	1e-05	8e-06	8e-06	8e-06	8e-06	9e-06	9e-06	1.2e-05	9e-06	1e-05	9e-06	8e-06	9e-06	7e-06	7e-06	8e-06	8e-06	8e-06	8e-06	7e-06	8e-06	
200	2.1e-05	1.6e-05	1.7e-05	1.7e-05	1.7e-05	1.6e-05	1.6e-05	1.7e-05	1.5e-05	1.5e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.5e-05	1.6e-05	1.6e-05	1.5e-05	1.6e-05	1.5e-05	1.7e-05	1.7e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	1.7e-05	1.7e-05	1.9e-05	1.6e-05	2.2e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	2e-05	2.1e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.8e-05	1.7e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	1.6e-05	1.6e-05	1.9e-05	1.7e-05	1.6e-05	1.9e-05	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	2.1e-05	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.7e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.7e-05	2.1e-05	1.6e-05	1.7e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.6e-05	1.9e-05	1.6e-05	1.6e-05	1.7e-05	1.6e-05	
300	2.7e-05	2.7e-05	2.6e-05	2.7e-05	2.6e-05	3.4e-05	2.6e-05	2.7e-05	2.7e-05	3.3e-05	2.7e-05	2.8e-05	2.6e-05	2.8e-05	3.3e-05	2.7e-05	2.7e-05	2.7e-05	2.7e-05	2.6e-05	2.6e-05	2.8e-05	3.3e-05	2.6e-05	3e-05	2.7e-05	2.7e-05	2.6e-05	2.6e-05	2.6e-05	3.5e-05	3e-05	2.7e-05	2.6e-05	2.9e-05	2.7e-05	2.7e-05	2.6e-05	2.8e-05	2.7e-05	2.8e-05	2.6e-05	2.6e-05	2.6e-05	2.6e-05	2.6e-05	2.6e-05	3.1e-05	2.6e-05	2.7e-05	2.7e-05	2.6e-05	3e-05	2.6e-05	2.6e-05	2.6e-05	2.7e-05	2.7e-05	2.6e-05	2.7e-05	3.3e-05	2.6e-05	2.9e-05	2.6e-05	2.6e-05	2.6e-05	2.6e-05	2.6e-05	2.7e-05	3.3e-05	2.6e-05	2.6e-05	2.7e-05	2.6e-05	2.7e-05	2.6e-05	2.6e-05	2.7e-05	2.6e-05	2.6e-05	2.6e-05	2.7e-05	2.6e-05	2.6e-05	2.7e-05	2.7e-05	3.4e-05	2.7e-05	2.6e-05	2.8e-05	2.7e-05	2.6e-05	2.7e-05	2.6e-05	2.7e-05	2.6e-05	3.5e-05	2.7e-05	2.6e-05	2.6e-05	
400	3.7e-05	3.6e-05	3.6e-05	4.6e-05	3.6e-05	5.4e-05	4.6e-05	3.6e-05	3.7e-05	3.6e-05	3.5e-05	3.6e-05	3.7e-05	3.5e-05	4e-05	3.6e-05	3.6e-05	3.6e-05	4.6e-05	4.6e-05	4.5e-05	4.6e-05	3.6e-05	3.6e-05	3.5e-05	3.6e-05	3.6e-05	3.6e-05	3.5e-05	4e-05	3.5e-05	3.5e-05	4.5e-05	4.2e-05	3.6e-05	4e-05	4.2e-05	3.5e-05	3.6e-05	3.7e-05	3.8e-05	3.6e-05	3.6e-05	3.6e-05	3.7e-05	3.5e-05	4.6e-05	3.6e-05	3.6e-05	4.5e-05	4.4e-05	4.2e-05	3.6e-05	3.6e-05	3.6e-05	3.7e-05	4.5e-05	3.9e-05	3.7e-05	3.7e-05	3.6e-05	3.5e-05	4.7e-05	4.6e-05	3.7e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.5e-05	3.5e-05	3.5e-05	3.6e-05	3.7e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.5e-05	3.9e-05	6.7e-05	3.6e-05	3.6e-05	4.7e-05	3.6e-05	3.6e-05	3.6e-05	3.6e-05	3.5e-05	3.6e-05	3.7e-05	3.7e-05	3.5e-05	4.7e-05	3.6e-05	
500	4.7e-05	4.6e-05	7.1e-05	5e-05	4.6e-05	4.6e-05	4.6e-05	4.6e-05	4.7e-05	4.7e-05	4.5e-05	4.6e-05	4.6e-05	4.7e-05	4.6e-05	4.7e-05	4.7e-05	4.6e-05	4.7e-05	4.6e-05	4.6e-05	4.7e-05	5.9e-05	4.7e-05	4.6e-05	5.9e-05	5e-05	4.8e-05	4.6e-05	6e-05	4.7e-05	4.7e-05	4.7e-05	4.6e-05	4.7e-05	4.7e-05	4.7e-05	4.6e-05	4.6e-05	6e-05	4.7e-05	4.6e-05	4.7e-05	4.6e-05	5.2e-05	5.8e-05	4.7e-05	4.7e-05	4.6e-05	4.7e-05	4.6e-05	4.6e-05	4.6e-05	4.9e-05	4.6e-05	4.5e-05	5.4e-05	4.7e-05	5.4e-05	5.5e-05	4.7e-05	4.6e-05	4.7e-05	4.6e-05	4.8e-05	5e-05	4.6e-05	4.6e-05	4.7e-05	4.6e-05	4.6e-05	4.7e-05	4.7e-05	4.7e-05	4.6e-05	4.7e-05	4.6e-05	4.6e-05	4.6e-05	4.7e-05	4.8e-05	4.6e-05	4.7e-05	5.5e-05	4.6e-05	4.7e-05	4.7e-05	4.7e-05	4.7e-05	4.7e-05	4.8e-05	4.7e-05	5.7e-05	4.6e-05	4.6e-05	4.7e-05	4.7e-05	5.3e-05	4.6e-05	4.6e-05	
600	5.7e-05	5.8e-05	5.7e-05	5.8e-05	5.7e-05	5.8e-05	6.8e-05	5.7e-05	5.8e-05	5.8e-05	5.8e-05	5.8e-05	5.6e-05	5.6e-05	6.1e-05	5.7e-05	5.6e-05	5.7e-05	5.7e-05	5.6e-05	5.7e-05	7.4e-05	5.8e-05	5.8e-05	5.7e-05	5.7e-05	5.6e-05	7.4e-05	5.8e-05	6.2e-05	7.1e-05	5.8e-05	5.6e-05	5.8e-05	5.8e-05	5.7e-05	5.7e-05	5.7e-05	5.8e-05	5.6e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	5.6e-05	5.6e-05	5.8e-05	5.7e-05	5.7e-05	5.8e-05	5.6e-05	5.6e-05	5.7e-05	7.6e-05	0.000102	5.8e-05	5.8e-05	5.7e-05	5.7e-05	5.9e-05	5.7e-05	5.7e-05	5.6e-05	5.7e-05	5.7e-05	5.8e-05	7e-05	5.8e-05	5.7e-05	5.7e-05	5.6e-05	5.6e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	5.7e-05	7.4e-05	8e-05	5.7e-05	5.7e-05	5.7e-05	5.6e-05	5.7e-05	7.3e-05	5.7e-05	6e-05	5.7e-05	7.4e-05	5.6e-05	5.8e-05	5.7e-05	5.8e-05	7.2e-05	5.7e-05	7e-05	7.3e-05	
700	8.3e-05	6.7e-05	7.2e-05	6.8e-05	6.8e-05	6.9e-05	6.8e-05	6.8e-05	6.8e-05	7.3e-05	6.7e-05	6.8e-05	6.8e-05	6.7e-05	6.7e-05	6.7e-05	6.8e-05	6.9e-05	6.8e-05	6.8e-05	6.7e-05	6.7e-05	6.7e-05	6.7e-05	6.7e-05	6.7e-05	8.7e-05	8.8e-05	7.5e-05	6.9e-05	6.7e-05	6.8e-05	6.6e-05	8e-05	8.7e-05	6.9e-05	7.1e-05	6.8e-05	6.7e-05	6.6e-05	8.7e-05	6.8e-05	6.8e-05	6.7e-05	6.8e-05	6.8e-05	6.8e-05	6.7e-05	6.7e-05	6.7e-05	6.7e-05	6.7e-05	7.4e-05	6.8e-05	6.8e-05	6.8e-05	6.9e-05	6.7e-05	6.7e-05	8.7e-05	6.9e-05	6.8e-05	6.6e-05	6.9e-05	6.7e-05	6.8e-05	6.7e-05	6.8e-05	6.8e-05	6.8e-05	6.8e-05	6.7e-05	6.7e-05	6.8e-05	6.8e-05	6.8e-05	6.8e-05	6.9e-05	6.8e-05	6.8e-05	6.8e-05	6.7e-05	6.9e-05	6.9e-05	6.7e-05	7.1e-05	6.6e-05	8.9e-05	8.5e-05	6.7e-05	6.8e-05	6.7e-05	6.8e-05	6.9e-05	6.8e-05	6.6e-05	6.8e-05	6.7e-05	6.7e-05	6.7e-05	
800	7.8e-05	8e-05	7.7e-05	8.1e-05	7.8e-05	7.8e-05	7.9e-05	7.8e-05	7.8e-05	8e-05	7.8e-05	7.9e-05	7.8e-05	8e-05	8.3e-05	7.7e-05	7.8e-05	7.9e-05	7.8e-05	7.9e-05	7.9e-05	7.8e-05	7.8e-05	8.1e-05	9.1e-05	7.9e-05	8.2e-05	7.7e-05	7.8e-05	7.9e-05	7.9e-05	7.9e-05	7.8e-05	7.9e-05	7.8e-05	8e-05	0.000101	7.8e-05	7.9e-05	7.8e-05	7.9e-05	0.000101	7.9e-05	7.9e-05	7.9e-05	7.8e-05	0.0001	7.9e-05	8.7e-05	7.8e-05	7.9e-05	7.8e-05	7.8e-05	7.8e-05	7.8e-05	7.8e-05	7.8e-05	8.1e-05	0.000113	7.8e-05	8.9e-05	7.8e-05	7.8e-05	7.8e-05	7.9e-05	9.8e-05	9.7e-05	0.0001	9.8e-05	9.7e-05	9.7e-05	9.8e-05	9.9e-05	7.8e-05	7.9e-05	7.8e-05	8e-05	8e-05	9.1e-05	7.9e-05	7.9e-05	8.3e-05	7.8e-05	9.3e-05	7.9e-05	7.8e-05	7.7e-05	0.000101	0.000102	0.000102	0.000102	8e-05	7.7e-05	7.9e-05	7.9e-05	7.9e-05	7.7e-05	7.9e-05	8e-05	8e-05	
900	8.9e-05	8.9e-05	9e-05	8.9e-05	8.9e-05	0.000105	9.3e-05	0.000115	9e-05	8.9e-05	8.9e-05	0.0001	9e-05	8.9e-05	0.00012	9e-05	8.9e-05	8.9e-05	8.8e-05	9.1e-05	0.000106	9.1e-05	8.9e-05	9.2e-05	8.9e-05	9e-05	9.2e-05	0.000115	8.9e-05	9e-05	0.000104	0.000118	9.1e-05	9e-05	9e-05	8.9e-05	9.3e-05	0.000111	9e-05	9e-05	0.000116	9e-05	8.9e-05	8.9e-05	9.1e-05	9e-05	0.000116	8.9e-05	9.1e-05	9.1e-05	0.000114	9e-05	8.8e-05	9.5e-05	9.7e-05	8.8e-05	8.8e-05	9e-05	8.9e-05	8.9e-05	8.9e-05	9e-05	0.000112	9.6e-05	9.4e-05	8.9e-05	9.3e-05	9.1e-05	8.9e-05	9.5e-05	8.9e-05	9e-05	9e-05	8.8e-05	0.000124	9e-05	8.8e-05	8.9e-05	8.9e-05	8.9e-05	9.3e-05	9.1e-05	9e-05	8.8e-05	8.8e-05	9.4e-05	9.3e-05	9e-05	9.2e-05	9e-05	9e-05	9.3e-05	9.7e-05	9e-05	9.5e-05	9.3e-05	0.000117	8.9e-05	0.000102	8.9e-05	
1000	0.000114	0.000129	0.000102	0.000101	0.000101	0.0001	0.0001	0.000113	0.0001	0.000102	0.000101	0.000102	0.0001	9.9e-05	0.0001	0.000102	0.000102	0.000117	0.000101	0.0001	9.9e-05	0.000125	0.0001	0.000129	0.000101	0.000101	0.000101	0.000124	0.000101	0.0001	0.000104	0.000127	0.000124	0.0001	0.000101	0.000101	0.000101	0.0001	0.0001	0.000101	0.000102	0.000101	0.000101	0.000101	0.000101	0.00013	0.000103	0.000101	0.00014	0.000102	0.000101	0.0001	0.000116	0.000101	0.000104	0.0001	0.0001	0.000101	0.000105	0.000129	0.000102	0.000125	0.000127	0.00012	0.000134	0.000101	0.000101	0.000101	0.000101	0.0001	0.0001	0.000126	0.000109	0.000101	0.000107	0.000134	0.000101	0.000129	0.000101	0.000101	0.0001	0.000115	0.0001	0.000103	0.0001	0.000104	0.000101	0.0001	0.0001	9.9e-05	0.000101	0.000101	0.000103	0.000101	0.000106	0.0001	9.9e-05	0.000101	0.000127	0.000101	
