vSinRepConExito-OcurrenciaSR,vSinRepSinExito-OcurrenciaSR,vSinRepConExito-OcurrenciaBasico,vSinRepSinExito-OcurrenciaBasico,vConRepIndeter-OcurrenciaBasico,vSinRepConExito-OcurrenciaCR,vSinRepSinExito-OcurrenciaCR,vConRepIndeter-OcurrenciaCR 

1.884e-07,2.01733e-07,1.442e-07,1.72e-07,1.69267e-07,4.07333e-07,3.584e-07,3.77867e-07
1.06707e-06,4.95267e-07,5.48227e-05,0.000119465,9.61867e-07,0.000423542,0.000422753,0.000426739
1.5478e-06,1.08007e-06,0.000125526,0.000240065,1.81027e-06,0.000837038,0.000845628,0.000848155
1.50593e-06,1.1608e-06,0.000152437,0.000358548,1.49933e-07,0.00123442,0.00125115,0.00125884
1.6308e-06,1.23233e-06,0.000244939,0.000478158,2.37575e-05,0.00166944,0.00168777,0.00169593
1.783e-06,1.09327e-06,0.000242003,0.000604065,1.66067e-07,0.00207719,0.00209245,0.0021172
1.7016e-06,1.38313e-06,0.000407364,0.000719944,2.97067e-07,0.00245542,0.00249954,0.00253597
1.76813e-06,1.35027e-06,0.000379854,0.000841012,2.332e-07,0.00298168,0.00308055,0.003126
1.76787e-06,1.34587e-06,0.000474127,0.000962041,1.33467e-06,0.00336894,0.00338356,0.003377
1.88093e-06,1.35367e-06,0.000471304,0.00108429,2.26867e-07,0.00371573,0.00375311,0.00376105
2.00047e-06,1.3646e-06,0.000660709,0.00120273,5.84733e-07,0.00412366,0.0042067,0.00426038
2.07733e-06,1.5492e-06,0.000804954,0.00132103,1.81443e-05,0.00440521,0.00450726,0.00457722
1.81113e-06,1.4886e-06,0.000793998,0.00144634,2.21533e-07,0.00494968,0.00503639,0.00511716
1.9938e-06,1.3828e-06,0.000755029,0.00158269,4.40467e-07,0.00525566,0.00519059,0.00518255
2.24087e-06,1.58287e-06,0.000870138,0.00169187,8.09411e-05,0.00597046,0.00627094,0.00620632
1.91073e-06,1.58627e-06,0.00107207,0.00180925,5.22733e-07,0.00600551,0.00624145,0.00640049
1.93913e-06,1.45007e-06,0.000988702,0.00192607,5.8998e-06,0.00668271,0.00676093,0.00685396
2.11273e-06,1.58013e-06,0.00124544,0.00206188,9.41267e-07,0.00666405,0.00680639,0.00684495
2.10353e-06,1.65173e-06,0.00128545,0.00219961,1.256e-06,0.00742542,0.00753744,0.00747953
2.12953e-06,1.5444e-06,0.00139505,0.00228462,2.68533e-06,0.00776486,0.00816222,0.00810803
2.12e-06,1.59407e-06,0.00101397,0.00242011,4.13733e-07,0.0083134,0.00852593,0.00855945
