#   line (B)  time (µs)
        1024      1361.6
        2048       990.7
        4096      1113.2
        8192      1176.7
       16384      1011.1
       32768      1200.8
       65536      2791.2
      131072      2606.5
      262144      2853.5
      524288      3263.2
     1048576      3333.4
     2097152     17118.5
     4194304      6846.7
     8388608     28078.3
    16777216     29710.7
    33554432     21894.5
    67108864     20041.6
   134217728     25374.6
   268435456     12792.3
   536870912     12360.9
  1073741824     11980.7
  2147483648     12079.1
  4294967296     12237.5
  8589934592  21212852.3
