Prefijo, Car. Total, Car. Arbol, %Red, #Nodos, %Red/#Nodos
2,5145,4904,4.68416,221,0.0211953
3,5145,4819,6.33625,290,0.0218491
4,5145,4765,7.38581,390,0.018938
5,5145,4720,8.26045,499,0.016554
6,5145,4679,9.05734,612,0.0147996
7,5145,4647,9.6793,734,0.0131871
8,5145,4626,10.0875,867,0.0116349
9,5145,4609,10.4179,1004,0.0103764
10,5145,4597,10.6511,1146,0.00929417
11,5145,4588,10.826,1291,0.00838578
12,5145,4581,10.9621,1438,0.00762316
13,5145,4577,11.0398,1588,0.00695204
14,5145,4574,11.0982,1739,0.00638192
